community	medium	key1	key2	data
comm_8_850	complete	mip	ni	4abz,acgam,arg__L,asn__L,bz,cellb,cit,dmso,dxyl,fru,glu__D,his__L,ile__L,leu__L,lys__L,mal__L,met__L,nmn,no,o2,pro__L,pydxn,so4,thm,thr__L,tsul,val__L
comm_8_850	complete	mip	i	acgam,arg__L,asn__L,cit,dmso,dxyl,glu__D,met__L,nmn,no,o2,so4,thm,tsul
comm_8_850	complete	mro	community	acgam,asn__L,cit,dmso,dxyl,glu__D,glyald,met__L,nmn,no3,o2,so4,tet,thm
comm_8_850	complete	mro	Ensifer_sojae_CCBAU_05684	bz,dxyl,glyc,nh4,nmn,o2,so4,tet
comm_8_850	complete	mro	Xenophilus_azovorans_DSM_13620	bz,etoh,nh4,o2,so4
comm_8_850	complete	mro	Rubripirellula_obstinata_CECT_8602	fum,glu__D,no2,o2,pro__L,so4,val__L
comm_8_850	complete	mro	Phormidesmis_priestleyi_ULC007	asn__L,dmso,met__L,o2,so4
comm_8_850	complete	mro	Geodermatophilus_ruber_DSM_45317	glyald,no2,o2,pydxn,so4
comm_8_850	complete	mro	Capnocytophaga_cynodegmi_DSM_19736_E6447	acgam,arg__L,dmso,his__L,ile__L,leu__L,lys__L,nmn,o2,pro__L,so4,thm,thr__L,val__L
comm_8_850	complete	mro	Actibacterium_atlanticum_22II_S11_z10	acald,asn__L,bz,cit,dxyl,nh4,o2,so4
comm_8_850	complete	mro	Clostridium_saccharolyticum_WM1	4abz,bz,glyald,glyc3p,mal__L,nh4,nmn,o2,so4,tsul
comm_8_851	complete	mip	ni	3mb,adn,arg__L,asn__L,but,bz,cit,g3pe,his__L,nh4,nmn,no3,o2,phe__L,progly,so4,thm
comm_8_851	complete	mip	i	3mb,adn,asn__L,cit,his__L,nmn,no3,o2,phe__L,progly,so4,thm
comm_8_851	complete	mro	community	3mb,asn__L,cit,his__L,nmn,no3,o2,phe__L,progly,so4,thm,xyl__D
comm_8_851	complete	mro	Psychroserpens_damuponensis_JCM_17632	gly,o2,so4,thm
comm_8_851	complete	mro	Prevotella_stercorea_DSM_18206	3mb,arg__L,glu__L,his__L,no2,o2,phe__L,progly,so4,val__L
comm_8_851	complete	mro	Geobacter_bemidjiensis_Bem	lac__L,nh4,o2,so4
comm_8_851	complete	mro	Algibacter_lectus_DSM_15365	asn__L,g3pe,o2,so4
comm_8_851	complete	mro	Conchiformibius_kuhniae_DSM_17694	asn__L,bz,nmn,o2,so4
